Aug 28, 2017 7:45:35 AM org.apache.karaf.main.Main launch
INFO: Installing and starting initial bundles
Aug 28, 2017 7:45:35 AM org.apache.karaf.main.Main launch
INFO: All initial bundles installed and set to start
Aug 28, 2017 7:45:35 AM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Trying to lock /opt/distribution-karaf-0.5.4-Boron-SR4/lock
Aug 28, 2017 7:45:35 AM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Lock acquired
Aug 28, 2017 7:45:35 AM org.apache.karaf.main.Main$KarafLockCallback lockAquired
INFO: Lock acquired. Setting startlevel to 100
2017-08-28 07:45:35,707 | INFO  | Event Dispatcher | fileinstall                      | 7 - org.apache.felix.fileinstall - 3.5.2 | Creating configuration from jmx.acl.org.apache.karaf.config.cfg
2017-08-28 07:45:35,711 | INFO  | Event Dispatcher | fileinstall                      | 7 - org.apache.felix.fileinstall - 3.5.2 | Creating configuration from org.apache.karaf.command.acl.kar.cfg
2017-08-28 07:45:35,712 | INFO  | Event Dispatcher | fileinstall                      | 7 - org.apache.felix.fileinstall - 3.5.2 | Creating configuration from org.apache.karaf.management.cfg
2017-08-28 07:45:35,713 | INFO  | Event Dispatcher | fileinstall                      | 7 - org.apache.felix.fileinstall - 3.5.2 | Creating configuration from jmx.acl.org.apache.karaf.bundle.cfg
2017-08-28 07:45:35,715 | INFO  | Event Dispatcher | fileinstall                      | 7 - org.apache.felix.fileinstall - 3.5.2 | Creating configuration from org.apache.karaf.kar.cfg
2017-08-28 07:45:35,725 | INFO  | Event Dispatcher | fileinstall                      | 7 - org.apache.felix.fileinstall - 3.5.2 | Creating configuration from org.apache.karaf.command.acl.bundle.cfg
2017-08-28 07:45:35,734 | INFO  | Event Dispatcher | fileinstall                      | 7 - org.apache.felix.fileinstall - 3.5.2 | Creating configuration from org.apache.karaf.log.cfg
2017-08-28 07:45:35,739 | INFO  | Event Dispatcher | fileinstall                      | 7 - org.apache.felix.fileinstall - 3.5.2 | Creating configuration from jmx.acl.java.lang.Memory.cfg
2017-08-28 07:45:35,741 | INFO  | Event Dispatcher | fileinstall                      | 7 - org.apache.felix.fileinstall - 3.5.2 | Creating configuration from org.apache.karaf.command.acl.config.cfg
2017-08-28 07:45:35,747 | INFO  | Event Dispatcher | fileinstall                      | 7 - org.apache.felix.fileinstall - 3.5.2 | Creating configuration from org.apache.karaf.features.repos.cfg
2017-08-28 07:45:35,749 | INFO  | Event Dispatcher | fileinstall                      | 7 - org.apache.felix.fileinstall - 3.5.2 | Creating configuration from jmx.acl.osgi.compendium.cm.cfg
2017-08-28 07:45:35,756 | INFO  | Event Dispatcher | fileinstall                      | 7 - org.apache.felix.fileinstall - 3.5.2 | Creating configuration from org.apache.karaf.command.acl.shell.cfg
2017-08-28 07:45:35,758 | INFO  | Event Dispatcher | fileinstall                      | 7 - org.apache.felix.fileinstall - 3.5.2 | Creating configuration from org.apache.karaf.command.acl.jaas.cfg
2017-08-28 07:45:35,759 | INFO  | Event Dispatcher | fileinstall                      | 7 - org.apache.felix.fileinstall - 3.5.2 | Creating configuration from org.apache.felix.fileinstall-deploy.cfg
2017-08-28 07:45:35,765 | INFO  | Event Dispatcher | fileinstall                      | 7 - org.apache.felix.fileinstall - 3.5.2 | Creating configuration from org.apache.karaf.features.cfg
2017-08-28 07:45:35,768 | INFO  | Event Dispatcher | fileinstall                      | 7 - org.apache.felix.fileinstall - 3.5.2 | Creating configuration from org.apache.karaf.command.acl.scope_bundle.cfg
2017-08-28 07:45:37,159 | WARN  | Event Dispatcher | FeatureValidationUtil            | 20 - org.apache.karaf.features.core - 3.0.7 | Old style feature file without namespace found (URI: mvn:io.fabric8/karaf-features/2.0.20/xml/features). This format is deprecated and support for it will soon be removed
2017-08-28 07:45:37,179 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature kar 3.0.7
2017-08-28 07:45:37,196 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature management 3.0.7
2017-08-28 07:45:37,221 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature config 3.0.7
2017-08-28 07:45:37,230 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature standard 3.0.7
2017-08-28 07:45:37,258 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature region 3.0.7
2017-08-28 07:45:37,271 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature ssh 3.0.7
2017-08-28 07:45:37,287 | INFO  | Event Dispatcher | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature package 3.0.7
2017-08-28 07:45:37,368 | INFO  | Event Dispatcher | BlueprintContainerImpl           | 15 - org.apache.aries.blueprint.core - 1.6.1 | Bundle org.apache.karaf.features.command/3.0.7 is waiting for namespace handlers [http://karaf.apache.org/xmlns/shell/v1.1.0]
2017-08-28 07:45:37,405 | INFO  | Event Dispatcher | BlueprintContainerImpl           | 15 - org.apache.aries.blueprint.core - 1.6.1 | Bundle org.apache.karaf.bundle.command/3.0.7 is waiting for namespace handlers [http://karaf.apache.org/xmlns/shell/v1.1.0]
2017-08-28 07:45:37,443 | INFO  | Event Dispatcher | SecuredCommandConfigTransformer  | 27 - org.apache.karaf.shell.console - 3.0.7 | Generating command ACL config org.apache.karaf.command.acl.feature into service ACL configs [org.apache.karaf.service.acl.command.feature.uninstall, org.apache.karaf.service.acl.command.feature.install]
2017-08-28 07:45:37,446 | INFO  | Event Dispatcher | SecuredCommandConfigTransformer  | 27 - org.apache.karaf.shell.console - 3.0.7 | Generating command ACL config org.apache.karaf.command.acl.jaas into service ACL configs [org.apache.karaf.service.acl.command.jaas.update]
2017-08-28 07:45:37,448 | INFO  | Event Dispatcher | SecuredCommandConfigTransformer  | 27 - org.apache.karaf.shell.console - 3.0.7 | Generating command ACL config org.apache.karaf.command.acl.config into service ACL configs [org.apache.karaf.service.acl.command.config.property-append, org.apache.karaf.service.acl.command.config.property-delete, org.apache.karaf.service.acl.command.config.property-set, org.apache.karaf.service.acl.command.config.edit, org.apache.karaf.service.acl.command.config.update, org.apache.karaf.service.acl.command.config.cancel, org.apache.karaf.service.acl.command.config.delete]
2017-08-28 07:45:37,457 | INFO  | Event Dispatcher | SecuredCommandConfigTransformer  | 27 - org.apache.karaf.shell.console - 3.0.7 | Generating command ACL config org.apache.karaf.command.acl.shell into service ACL configs [org.apache.karaf.service.acl.command.shell.java, org.apache.karaf.service.acl.command.shell.edit, org.apache.karaf.service.acl.command.shell.new, org.apache.karaf.service.acl.command.shell.exec]
2017-08-28 07:45:37,460 | INFO  | Event Dispatcher | SecuredCommandConfigTransformer  | 27 - org.apache.karaf.shell.console - 3.0.7 | Generating command ACL config org.apache.karaf.command.acl.system into service ACL configs [org.apache.karaf.service.acl.command.system.property, org.apache.karaf.service.acl.command.system.shutdown, org.apache.karaf.service.acl.command.system.start-level]
2017-08-28 07:45:37,465 | INFO  | Event Dispatcher | SecuredCommandConfigTransformer  | 27 - org.apache.karaf.shell.console - 3.0.7 | Generating command ACL config org.apache.karaf.command.acl.scope_bundle into service ACL configs [org.apache.karaf.service.acl.command.scope_bundle.packages, org.apache.karaf.service.acl.command.scope_bundle.shell, org.apache.karaf.service.acl.command.scope_bundle.admin, org.apache.karaf.service.acl.command.scope_bundle.ssh, org.apache.karaf.service.acl.command.scope_bundle.osgi, org.apache.karaf.service.acl.command.scope_bundle.config, org.apache.karaf.service.acl.command.scope_bundle.jaas, org.apache.karaf.service.acl.command.scope_bundle.features, org.apache.karaf.service.acl.command.scope_bundle.log]
2017-08-28 07:45:37,475 | INFO  | Event Dispatcher | SecuredCommandConfigTransformer  | 27 - org.apache.karaf.shell.console - 3.0.7 | Generating command ACL config org.apache.karaf.command.acl.kar into service ACL configs [org.apache.karaf.service.acl.command.kar.uninstall, org.apache.karaf.service.acl.command.kar.install]
2017-08-28 07:45:37,476 | INFO  | Event Dispatcher | SecuredCommandConfigTransformer  | 27 - org.apache.karaf.shell.console - 3.0.7 | Generating command ACL config org.apache.karaf.command.acl.bundle into service ACL configs [org.apache.karaf.service.acl.command.bundle.watch, org.apache.karaf.service.acl.command.bundle.update, org.apache.karaf.service.acl.command.bundle.install, org.apache.karaf.service.acl.command.bundle.refresh, org.apache.karaf.service.acl.command.bundle.uninstall, org.apache.karaf.service.acl.command.bundle.restart, org.apache.karaf.service.acl.command.bundle.stop, org.apache.karaf.service.acl.command.bundle.start]
2017-08-28 07:45:37,512 | INFO  | Event Dispatcher | BlueprintContainerImpl           | 15 - org.apache.aries.blueprint.core - 1.6.1 | Bundle org.apache.karaf.jaas.modules/3.0.7 is waiting for namespace handlers [http://karaf.apache.org/xmlns/jaas/v1.0.0]
2017-08-28 07:45:37,902 | INFO  | Event Dispatcher | core                             | 43 - org.apache.aries.jmx.core - 1.1.6 | Starting JMX OSGi agent
2017-08-28 07:45:37,911 | INFO  | Event Dispatcher | core                             | 43 - org.apache.aries.jmx.core - 1.1.6 | Registering MBean with ObjectName [osgi.core:service=permissionadmin,version=1.2,framework=org.eclipse.osgi,uuid=10d93de0-c48b-0017-18d2-c8f3ee8107ce] for service with service.id [2]
2017-08-28 07:45:37,913 | INFO  | Event Dispatcher | core                             | 43 - org.apache.aries.jmx.core - 1.1.6 | Registering MBean with ObjectName [osgi.compendium:service=cm,version=1.3,framework=org.eclipse.osgi,uuid=10d93de0-c48b-0017-18d2-c8f3ee8107ce] for service with service.id [37]
2017-08-28 07:45:37,921 | INFO  | Event Dispatcher | core                             | 43 - org.apache.aries.jmx.core - 1.1.6 | Registering org.osgi.jmx.service.permissionadmin.PermissionAdminMBean to MBeanServer com.sun.jmx.mbeanserver.JmxMBeanServer@5e481248 with name osgi.core:service=permissionadmin,version=1.2,framework=org.eclipse.osgi,uuid=10d93de0-c48b-0017-18d2-c8f3ee8107ce
2017-08-28 07:45:37,921 | INFO  | Event Dispatcher | core                             | 43 - org.apache.aries.jmx.core - 1.1.6 | Registering org.osgi.jmx.framework.ServiceStateMBean to MBeanServer com.sun.jmx.mbeanserver.JmxMBeanServer@5e481248 with name osgi.core:type=serviceState,version=1.7,framework=org.eclipse.osgi,uuid=10d93de0-c48b-0017-18d2-c8f3ee8107ce
